0	1
BIVALIRUDIN	Myeloperoxidase
PEGINTERFERON ALFA-2A	Cytochrome P450 1A2
INTERFERON ALFA-N1	Cytochrome P450 1A2
UROKINASE	Macrophage metalloelastase
INTERFERON ALFA-N3	Cytochrome P450 1A2
PEGFILGRASTIM	Neutrophil elastase
PEGINTERFERON ALFA-2B	Cytochrome P450 1A2
PEGINTERFERON ALFA-2B	Cytochrome P450 2D6
PEGINTERFERON ALFA-2B	Cytochrome P450 2C9
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Prothrombin
ANTIHEMOPHILIC FACTOR, HUMAN RECOMBINANT	Vitamin K-dependent protein C
INSULIN HUMAN	Insulin-degrading enzyme
INSULIN HUMAN	Neuroendocrine convertase 2
INSULIN HUMAN	Neuroendocrine convertase 1
INSULIN HUMAN	Cytochrome P450 1A2
INTERFERON GAMMA-1B	Cytochrome P450 1A2
INTERFERON ALFA-2A	Cytochrome P450 1A2
DESMOPRESSIN	Prostaglandin G/H synthase 2
DESMOPRESSIN	Prostaglandin G/H synthase 1
ALDESLEUKIN	Prostaglandin G/H synthase 2
ALDESLEUKIN	Cytosolic phospholipase A2
ALDESLEUKIN	Cytochrome P450 3A4
ALDESLEUKIN	Xanthine dehydrogenase/oxidase
ALDESLEUKIN	Cytochrome P450 2E1
INSULIN LISPRO	Cytochrome P450 1A2
INSULIN LISPRO	Insulin-degrading enzyme
INSULIN GLARGINE	Cytochrome P450 1A2
SOMATOTROPIN	Cytochrome P450 1A2
SOMATOTROPIN	Cytochrome P450 2C19
INTERFERON BETA-1A	Cytochrome P450 1A2
INTERFERON BETA-1B	Cytochrome P450 1A2
INTERFERON ALFACON-1	Cytochrome P450 1A2
INSULIN PORK	Cytochrome P450 1A2
INSULIN PORK	Insulin-degrading enzyme
PEGVISOMANT	Sterol 26-hydroxylase, mitochondrial
PEGVISOMANT	Glutamine synthetase
PEGVISOMANT	Cytochrome P450 3A4
PEGVISOMANT	Cholinesterase
PEGVISOMANT	Cytochrome P450 4A11
STREPTOKINASE	Cytosolic phospholipase A2
CYCLOSPORINE	Cytochrome P450 2C19
CYCLOSPORINE	Cytochrome P450 2D6
CYCLOSPORINE	Cytochrome P450 3A5
CYCLOSPORINE	Cytochrome P450 3A4
FILGRASTIM	Neutrophil elastase
OCTREOTIDE	Myeloperoxidase
OCTREOTIDE	Cytochrome P450 3A4
INTERFERON ALFA-2B	Cytochrome P450 1A2
OXYTOCIN	Prolyl endopeptidase
OXYTOCIN	Leucyl-cystinyl aminopeptidase
ENFUVIRTIDE	Cytochrome P450 2C19
ENFUVIRTIDE	Cytochrome P450 2E1
CYANOCOBALAMIN	Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial
CYANOCOBALAMIN	Bifunctional adenosylcobalamin biosynthesis protein CobU
CYANOCOBALAMIN	Pancreatic proteases
ADEMETIONINE	Spermidine synthase
ADEMETIONINE	Cytochrome P450 2E1
BIOTIN	Cytochrome P450 1B1
CHOLINE	Choline/ethanolaminephosphotransferase 1
CHOLINE	Choline/ethanolamine kinase
CHOLINE	Choline O-acetyltransferase
CHOLINE	Choline kinase alpha
CHOLINE	Choline dehydrogenase, mitochondrial
ASCORBIC ACID	Thioredoxin reductase 1, cytoplasmic
SPERMINE	Diamine acetyltransferase 1
SPERMINE	Diamine acetyltransferase 2
SPERMINE	Xanthine dehydrogenase/oxidase
ASPARTIC ACID	CAD protein
L-GLUTAMINE	Coagulation factor XIII A chain
L-GLUTAMINE	Glutaminase kidney isoform, mitochondrial
L-GLUTAMINE	Glutaminase liver isoform, mitochondrial
L-GLUTAMINE	Protein-glutamine gamma-glutamyltransferase 2
L-GLUTAMINE	Protein-glutamine gamma-glutamyltransferase 5
L-GLUTAMINE	Protein-glutamine gamma-glutamyltransferase 6
L-GLUTAMINE	Protein-glutamine gamma-glutamyltransferase K
L-GLUTAMINE	Protein-glutamine gamma-glutamyltransferase 4
L-GLUTAMINE	Protein-glutamine gamma-glutamyltransferase E
L-GLUTAMINE	Protein-glutamine gamma-glutamyltransferase Z
L-GLUTAMINE	GMP synthase [glutamine-hydrolyzing]
L-GLUTAMINE	Asparagine synthetase [glutamine-hydrolyzing]
L-GLUTAMINE	Kynurenine--oxoglutarate transaminase 1
L-GLUTAMINE	Phosphoribosylformylglycinamidine synthase
L-GLUTAMINE	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial
L-GLUTAMINE	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2
L-GLUTAMINE	CAD protein
L-GLUTAMINE	Glutamine--tRNA ligase
L-GLUTAMINE	Glutamine-dependent NAD(+) synthetase
ADENOSINE PHOSPHATE	AMP deaminase 1
ADENOSINE PHOSPHATE	Adenine phosphoribosyltransferase
METHIONINE	S-adenosylmethionine synthase isoform type-2
METHIONINE	Methionine-R-sulfoxide reductase B2, mitochondrial
METHIONINE	S-adenosylmethionine synthase isoform type-1
METHIONINE	Methionine-R-sulfoxide reductase B1
METHIONINE	Mitochondrial peptide methionine sulfoxide reductase
METHIONINE	Methionine--tRNA ligase, cytoplasmic
METHIONINE	Methionine--tRNA ligase, mitochondrial
METHIONINE	Methionine adenosyltransferase 2 subunit beta
METHIONINE	S-methylmethionine--homocysteine S-methyltransferase BHMT2
METHIONINE	Glutamine synthetase
METHIONINE	Methylenetetrahydrofolate reductase
CALCITRIOL	1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial
CALCITRIOL	Cytochrome P450 3A4
SUCCINIC ACID	Succinate dehydrogenase cytochrome b560 subunit, mitochondrial
SUCCINIC ACID	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
SUCCINIC ACID	Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial
SUCCINIC ACID	Prolyl 4-hydroxylase
SUCCINIC ACID	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3
SUCCINIC ACID	Prolyl 3-hydroxylase 1
SUCCINIC ACID	Prolyl 3-hydroxylase 2
SUCCINIC ACID	Prolyl 3-hydroxylase 3
