0	1
LEPIRUDIN	Prothrombin
CETUXIMAB	Epidermal growth factor receptor
CETUXIMAB	Low affinity immunoglobulin gamma Fc region receptor III-B
CETUXIMAB	Complement C1q subcomponent subunit A
CETUXIMAB	Complement C1q subcomponent subunit B
CETUXIMAB	Complement C1q subcomponent subunit C
CETUXIMAB	Low affinity immunoglobulin gamma Fc region receptor III-A
CETUXIMAB	High affinity immunoglobulin gamma Fc receptor I
CETUXIMAB	Low affinity immunoglobulin gamma Fc region receptor II-a
DENILEUKIN DIFTITOX	Interleukin-2 receptor subunit alpha
DENILEUKIN DIFTITOX	Interleukin-2 receptor subunit beta
ETANERCEPT	Tumor necrosis factor
ETANERCEPT	Tumor necrosis factor
ETANERCEPT	Lymphotoxin-alpha
ETANERCEPT	High affinity immunoglobulin gamma Fc receptor I
ETANERCEPT	Low affinity immunoglobulin gamma Fc region receptor II-a
ETANERCEPT	Low affinity immunoglobulin gamma Fc region receptor II-b
ETANERCEPT	Low affinity immunoglobulin gamma Fc region receptor II-c
ETANERCEPT	Low affinity immunoglobulin gamma Fc region receptor III-A
ETANERCEPT	Low affinity immunoglobulin gamma Fc region receptor III-B
ETANERCEPT	Complement component 1q (C1q)
BIVALIRUDIN	Prothrombin
LEUPROLIDE	Gonadotropin-releasing hormone receptor
PEGINTERFERON ALFA-2A	Interferon alpha/beta receptor 2
PEGINTERFERON ALFA-2A	Interferon alpha/beta receptor 1
ALTEPLASE	Plasminogen
ALTEPLASE	Fibrinogen alpha chain
ALTEPLASE	Fibrinogen gamma chain
SERMORELIN	Growth hormone-releasing hormone receptor
INTERFERON ALFA-N1	Interferon alpha/beta receptor 1
INTERFERON ALFA-N1	Interferon alpha/beta receptor 2
DARBEPOETIN ALFA	Erythropoietin receptor
UROKINASE	Plasminogen
UROKINASE	Urokinase plasminogen activator surface receptor
UROKINASE	Urokinase plasminogen activator surface receptor
UROKINASE	Plasminogen activator inhibitor 1
UROKINASE	Plasminogen activator inhibitor 1
UROKINASE	Plasminogen activator inhibitor 2
UROKINASE	Plasminogen activator inhibitor 2
UROKINASE	Plasma serine protease inhibitor
UROKINASE	Low-density lipoprotein receptor-related protein 2
UROKINASE	Suppressor of tumorigenicity 14 protein
UROKINASE	Nidogen-1
GOSERELIN	Lutropin-choriogonadotropic hormone receptor
GOSERELIN	Gonadotropin-releasing hormone receptor
RETEPLASE	Plasminogen
ERYTHROPOIETIN	Erythropoietin receptor
SALMON CALCITONIN	Calcitonin receptor
INTERFERON ALFA-N3	Interferon alpha/beta receptor 1
