0	1
GRAMICIDIN D	P-glycoprotein 1
SOMATOTROPIN	P-glycoprotein 1
VASOPRESSIN	Canalicular multispecific organic anion transporter 1
DAPTOMYCIN	P-glycoprotein 1
CYCLOSPORINE	P-glycoprotein 1
CYCLOSPORINE	Bile salt export pump
CYCLOSPORINE	Ileal sodium/bile acid cotransporter
CYCLOSPORINE	Sodium/bile acid cotransporter
CYCLOSPORINE	Solute carrier family 22 member 6
CYCLOSPORINE	Multidrug resistance-associated protein 7
CYCLOSPORINE	Canalicular multispecific organic anion transporter 1
CYCLOSPORINE	ATP-binding cassette sub-family G member 2
CYCLOSPORINE	Solute carrier organic anion transporter family member 1B1
CYCLOSPORINE	Solute carrier organic anion transporter family member 1B3
AGALSIDASE BETA	Cation-dependent mannose-6-phosphate receptor
OCTREOTIDE	P-glycoprotein 1
OCTREOTIDE	Canalicular multispecific organic anion transporter 1
OXYTOCIN	Advanced glycosylation end product-specific receptor
CYANOCOBALAMIN	Protein amnionless
CYANOCOBALAMIN	Transcobalamin-1
CYANOCOBALAMIN	Transcobalamin-2
CYANOCOBALAMIN	Gastric intrinsic factor
CYANOCOBALAMIN	Cubilin
CYANOCOBALAMIN	Low-density lipoprotein receptor-related protein 2
CYANOCOBALAMIN	Multidrug resistance-associated protein 1
TETRAHYDROFOLIC ACID	Canalicular multispecific organic anion transporter 1
HISTIDINE	Monocarboxylate transporter 10
PYRUVIC ACID	Monocarboxylate transporter 2
PYRUVIC ACID	Monocarboxylate transporter 1
PYRUVIC ACID	Monocarboxylate transporter 10
PYRUVIC ACID	Solute carrier organic anion transporter family member 2A1
PYRUVIC ACID	Monocarboxylate transporter 4
PHENYLALANINE	Monocarboxylate transporter 10
BIOTIN	Sodium-dependent multivitamin transporter
BIOTIN	Sodium-coupled monocarboxylate transporter 1
CHOLINE	Solute carrier family 22 member 2
CHOLINE	Solute carrier family 22 member 1
CHOLINE	Solute carrier family 22 member 3
CHOLINE	Solute carrier family 22 member 5
CHOLINE	Solute carrier family 22 member 4
CHOLINE	Choline transporter-like protein 1
CHOLINE	Choline transporter-like protein 4
CHOLINE	Choline transporter-like protein 2
CHOLINE	Choline transporter-like protein 3
CHOLINE	High affinity choline transporter 1
LYSINE	Monocarboxylate transporter 10
LYSINE	Solute carrier family 22 member 4
ARGININE	Solute carrier family 22 member 5
ARGININE	Monocarboxylate transporter 10
ARGININE	Solute carrier family 22 member 4
ASCORBIC ACID	Solute carrier family 23 member 1
ASCORBIC ACID	Solute carrier family 23 member 2
ASCORBIC ACID	Solute carrier family 2, facilitated glucose transporter member 1
ASCORBIC ACID	Solute carrier family 2, facilitated glucose transporter member 3
ASCORBIC ACID	Solute carrier family 2, facilitated glucose transporter member 4
SPERMINE	Solute carrier family 22 member 4
SPERMINE	Solute carrier family 22 member 1
ASPARTIC ACID	Monocarboxylate transporter 10
L-GLUTAMINE	Sodium-coupled neutral amino acid transporter 1
L-GLUTAMINE	Sodium-coupled neutral amino acid transporter 2
L-GLUTAMINE	Sodium-coupled neutral amino acid transporter 3
L-GLUTAMINE	Neutral amino acid transporter B(0)
L-GLUTAMINE	Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+)
